log2Enrich	feature	primary_diagnosis	cohort
221	1.102	CpG-Island	breast	Cancer
222	1.419	Promoter	breast	Cancer
223	1.037	5UTR	breast	Cancer
224	1.445	Exon	breast	Cancer
225	0.519	Intron	breast	Cancer
226	0.772	TTS	breast	Cancer
227	0.613	3UTR	breast	Cancer
228	-0.725	Intergenic	breast	Cancer
229	0.772	SINE	breast	Cancer
230	-0.925	LINE	breast	Cancer
231	1.321	CpG-Island	breast	Cancer
232	1.43	Promoter	breast	Cancer
233	1.185	5UTR	breast	Cancer
234	1.842	Exon	breast	Cancer
235	0.544	Intron	breast	Cancer
236	1.018	TTS	breast	Cancer
237	0.803	3UTR	breast	Cancer
238	-0.781	Intergenic	breast	Cancer
239	0.938	SINE	breast	Cancer
240	-1.423	LINE	breast	Cancer
241	1.141	CpG-Island	breast	Cancer
242	1.183	Promoter	breast	Cancer
243	1.047	5UTR	breast	Cancer
244	1.922	Exon	breast	Cancer
245	0.45	Intron	breast	Cancer
246	1.225	TTS	breast	Cancer
247	1.076	3UTR	breast	Cancer
248	-0.727	Intergenic	breast	Cancer
249	1.07	SINE	breast	Cancer
250	-1.614	LINE	breast	Cancer
251	2.125	CpG-Island	breast	Cancer
252	1.917	Promoter	breast	Cancer
253	1.54	5UTR	breast	Cancer
254	2.368	Exon	breast	Cancer
255	0.654	Intron	breast	Cancer
256	1.676	TTS	breast	Cancer
257	1.433	3UTR	breast	Cancer
258	-1.184	Intergenic	breast	Cancer
259	0.979	SINE	breast	Cancer
260	-2.15	LINE	breast	Cancer
261	0.926	CpG-Island	breast	Cancer
262	1.191	Promoter	breast	Cancer
263	0.968	5UTR	breast	Cancer
264	1.471	Exon	breast	Cancer
265	0.514	Intron	breast	Cancer
266	0.706	TTS	breast	Cancer
267	0.59	3UTR	breast	Cancer
268	-0.674	Intergenic	breast	Cancer
269	0.795	SINE	breast	Cancer
270	-0.923	LINE	breast	Cancer
271	1.885	CpG-Island	breast	Cancer
272	1.72	Promoter	breast	Cancer
273	1.382	5UTR	breast	Cancer
274	2.346	Exon	breast	Cancer
275	0.649	Intron	breast	Cancer
276	1.577	TTS	breast	Cancer
277	1.36	3UTR	breast	Cancer
278	-1.11	Intergenic	breast	Cancer
279	1.026	SINE	breast	Cancer
280	-2.169	LINE	breast	Cancer
281	1.714	CpG-Island	breast	Cancer
282	1.684	Promoter	breast	Cancer
283	1.589	5UTR	breast	Cancer
284	2.333	Exon	breast	Cancer
285	0.743	Intron	breast	Cancer
286	1.572	TTS	breast	Cancer
287	1.35	3UTR	breast	Cancer
288	-0.872	Intergenic	breast	Cancer
289	0.715	SINE	breast	Cancer
290	-2.053	LINE	breast	Cancer
291	1.273	CpG-Island	breast	Cancer
292	1.85	Promoter	breast	Cancer
293	1.37	5UTR	breast	Cancer
294	1.723	Exon	breast	Cancer
295	0.406	Intron	breast	Cancer
296	1.238	TTS	breast	Cancer
297	1.018	3UTR	breast	Cancer
298	-1.279	Intergenic	breast	Cancer
299	1.294	SINE	breast	Cancer
300	-1.525	LINE	breast	Cancer
301	1.199	CpG-Island	breast	Cancer
302	1.345	Promoter	breast	Cancer
303	1.044	5UTR	breast	Cancer
304	1.87	Exon	breast	Cancer
305	0.604	Intron	breast	Cancer
306	1.001	TTS	breast	Cancer
307	0.864	3UTR	breast	Cancer
308	-0.784	Intergenic	breast	Cancer
309	0.836	SINE	breast	Cancer
310	-1.337	LINE	breast	Cancer
311	1.526	CpG-Island	breast	Cancer
312	1.608	Promoter	breast	Cancer
313	1.117	5UTR	breast	Cancer
314	2.048	Exon	breast	Cancer
315	0.599	Intron	breast	Cancer
316	1.262	TTS	breast	Cancer
317	1.049	3UTR	breast	Cancer
318	-0.958	Intergenic	breast	Cancer
319	1.012	SINE	breast	Cancer
320	-1.762	LINE	breast	Cancer
321	1.331	CpG-Island	breast	Cancer
322	1.538	Promoter	breast	Cancer
323	1.137	5UTR	breast	Cancer
324	1.85	Exon	breast	Cancer
325	0.593	Intron	breast	Cancer
326	1.115	TTS	breast	Cancer
327	0.975	3UTR	breast	Cancer
328	-0.802	Intergenic	breast	Cancer
329	0.945	SINE	breast	Cancer
330	-1.64	LINE	breast	Cancer
331	1.451	CpG-Island	colon	Cancer
332	1.79	Promoter	colon	Cancer
333	1.242	5UTR	colon	Cancer
334	2.032	Exon	colon	Cancer
335	0.506	Intron	colon	Cancer
336	1.3	TTS	colon	Cancer
337	1.195	3UTR	colon	Cancer
338	-1.251	Intergenic	colon	Cancer
339	1.265	SINE	colon	Cancer
340	-1.935	LINE	colon	Cancer
341	1.357	CpG-Island	colon	Cancer
342	1.608	Promoter	colon	Cancer
343	1.072	5UTR	colon	Cancer
344	1.732	Exon	colon	Cancer
345	0.233	Intron	colon	Cancer
346	1.22	TTS	colon	Cancer
347	0.782	3UTR	colon	Cancer
348	-1.152	Intergenic	colon	Cancer
349	1.489	SINE	colon	Cancer
350	-1.822	LINE	colon	Cancer
351	1.215	CpG-Island	colon	Cancer
352	1.428	Promoter	colon	Cancer
353	1.009	5UTR	colon	Cancer
354	1.532	Exon	colon	Cancer
355	0.442	Intron	colon	Cancer
356	0.976	TTS	colon	Cancer
357	0.693	3UTR	colon	Cancer
358	-0.811	Intergenic	colon	Cancer
